model,run,best_acc_epoch,best_f1_epoch,best_acc,best_f1,best_acc_f1,best_f1_acc,student_ms,best_acc_checkpoint,best_f1_checkpoint,final_checkpoint,best_acc_record,best_f1_record
pure_sincnet,1,8,1,0.7207207207207207,0.7399650959860384,0.7383966244725739,0.6644144144144144,3.5636869992595166,dl_model\speechbrain_ablation\checkpoints\pure_sincnet_best_acc.pth,dl_model\speechbrain_ablation\checkpoints\pure_sincnet_best_f1.pth,dl_model\speechbrain_ablation\checkpoints\pure_sincnet_final.pth,dl_model\speechbrain_ablation\checkpoints\pure_sincnet_best_acc_record.json,dl_model\speechbrain_ablation\checkpoints\pure_sincnet_best_f1_record.json
sincnet,1,3,1,0.6216216216216216,0.668896321070234,0.5578947368421052,0.5540540540540541,4.0290989994537085,dl_model\speechbrain_ablation\checkpoints\sincnet_best_acc.pth,dl_model\speechbrain_ablation\checkpoints\sincnet_best_f1.pth,dl_model\speechbrain_ablation\checkpoints\sincnet_final.pth,dl_model\speechbrain_ablation\checkpoints\sincnet_best_acc_record.json,dl_model\speechbrain_ablation\checkpoints\sincnet_best_f1_record.json
tdnn_full,1,7,7,0.6801801801801802,0.7016806722689075,0.7016806722689075,0.6801801801801802,2.838173999916762,dl_model\speechbrain_ablation\checkpoints\tdnn_full_best_acc.pth,dl_model\speechbrain_ablation\checkpoints\tdnn_full_best_f1.pth,dl_model\speechbrain_ablation\checkpoints\tdnn_full_final.pth,dl_model\speechbrain_ablation\checkpoints\tdnn_full_best_acc_record.json,dl_model\speechbrain_ablation\checkpoints\tdnn_full_best_f1_record.json
no_dilation,1,7,7,0.7072072072072072,0.7123893805309734,0.7123893805309734,0.7072072072072072,2.872561999829486,dl_model\speechbrain_ablation\checkpoints\no_dilation_best_acc.pth,dl_model\speechbrain_ablation\checkpoints\no_dilation_best_f1.pth,dl_model\speechbrain_ablation\checkpoints\no_dilation_final.pth,dl_model\speechbrain_ablation\checkpoints\no_dilation_best_acc_record.json,dl_model\speechbrain_ablation\checkpoints\no_dilation_best_f1_record.json
no_stats_pooling,1,7,9,0.6846846846846847,0.7021696252465485,0.6464646464646465,0.6599099099099099,2.4593669991008937,dl_model\speechbrain_ablation\checkpoints\no_stats_pooling_best_acc.pth,dl_model\speechbrain_ablation\checkpoints\no_stats_pooling_best_f1.pth,dl_model\speechbrain_ablation\checkpoints\no_stats_pooling_final.pth,dl_model\speechbrain_ablation\checkpoints\no_stats_pooling_best_acc_record.json,dl_model\speechbrain_ablation\checkpoints\no_stats_pooling_best_f1_record.json
no_pairwise_product,1,16,16,0.6846846846846847,0.6759259259259259,0.6759259259259259,0.6846846846846847,2.9200580005999655,dl_model\speechbrain_ablation\checkpoints\no_pairwise_product_best_acc.pth,dl_model\speechbrain_ablation\checkpoints\no_pairwise_product_best_f1.pth,dl_model\speechbrain_ablation\checkpoints\no_pairwise_product_final.pth,dl_model\speechbrain_ablation\checkpoints\no_pairwise_product_best_acc_record.json,dl_model\speechbrain_ablation\checkpoints\no_pairwise_product_best_f1_record.json
no_specaugment,1,13,8,0.6981981981981982,0.6935483870967741,0.6869158878504673,0.6576576576576577,2.8711809997912496,dl_model\speechbrain_ablation\checkpoints\no_specaugment_best_acc.pth,dl_model\speechbrain_ablation\checkpoints\no_specaugment_best_f1.pth,dl_model\speechbrain_ablation\checkpoints\no_specaugment_final.pth,dl_model\speechbrain_ablation\checkpoints\no_specaugment_best_acc_record.json,dl_model\speechbrain_ablation\checkpoints\no_specaugment_best_f1_record.json
embedding_classifier,1,21,11,0.6756756756756757,0.6921606118546846,0.6538461538461537,0.6373873873873874,2.7165859995875508,dl_model\speechbrain_ablation\checkpoints\embedding_classifier_best_acc.pth,dl_model\speechbrain_ablation\checkpoints\embedding_classifier_best_f1.pth,dl_model\speechbrain_ablation\checkpoints\embedding_classifier_final.pth,dl_model\speechbrain_ablation\checkpoints\embedding_classifier_best_acc_record.json,dl_model\speechbrain_ablation\checkpoints\embedding_classifier_best_f1_record.json
mlp,1,1,1,0.5,0.6666666666666666,0.6666666666666666,0.5,1.2977740005590022,dl_model\speechbrain_ablation\checkpoints\mlp_best_acc.pth,dl_model\speechbrain_ablation\checkpoints\mlp_best_f1.pth,dl_model\speechbrain_ablation\checkpoints\mlp_final.pth,dl_model\speechbrain_ablation\checkpoints\mlp_best_acc_record.json,dl_model\speechbrain_ablation\checkpoints\mlp_best_f1_record.json
cnn,1,5,5,0.6463963963963963,0.7032136105860113,0.7032136105860113,0.6463963963963963,2.1478599996771663,dl_model\speechbrain_ablation\checkpoints\cnn_best_acc.pth,dl_model\speechbrain_ablation\checkpoints\cnn_best_f1.pth,dl_model\speechbrain_ablation\checkpoints\cnn_final.pth,dl_model\speechbrain_ablation\checkpoints\cnn_best_acc_record.json,dl_model\speechbrain_ablation\checkpoints\cnn_best_f1_record.json
