model,runs,best_acc_mean,best_acc_std,best_f1_mean,best_f1_std,student_ms_mean,student_ms_std
mlp,1,0.5,0.0,0.6666666666666666,0.0,1.2977740005590022,0.0
cnn,1,0.6463963963963963,0.0,0.7032136105860113,0.0,2.1478599996771663,0.0
no_stats_pooling,1,0.6846846846846847,0.0,0.7021696252465485,0.0,2.4593669991008937,0.0
transformer,1,0.6486486486486487,0.0,0.6562500000000001,0.0,2.634013000642881,0.0
embedding_classifier,1,0.6756756756756757,0.0,0.6921606118546846,0.0,2.7165859995875508,0.0
tdnn_full,1,0.6801801801801802,0.0,0.7016806722689075,0.0,2.838173999916762,0.0
no_specaugment,1,0.6981981981981982,0.0,0.6935483870967741,0.0,2.8711809997912496,0.0
no_dilation,1,0.7072072072072072,0.0,0.7123893805309734,0.0,2.872561999829486,0.0
no_pairwise_product,1,0.6846846846846847,0.0,0.6759259259259259,0.0,2.9200580005999655,0.0
resnet,1,0.6756756756756757,0.0,0.6983471074380165,0.0,3.2807420007884502,0.0
pure_sincnet,1,0.7207207207207207,0.0,0.7399650959860384,0.0,3.5636869992595166,0.0
sincnet,1,0.6216216216216216,0.0,0.668896321070234,0.0,4.0290989994537085,0.0
