model,run,epoch,test_acc,test_f1,test_loss,test_precision,test_recall,train_loss
pure_sincnet,1,8,0.7207207207207207,0.7383966244725739,0.5960601052722415,0.6944444444444444,0.7882882882882883,1.6785988686949833
sincnet,1,3,0.6216216216216216,0.5578947368421052,0.6678148980613228,0.6708860759493671,0.4774774774774775,1.68880645940428
tdnn_full,1,7,0.6801801801801802,0.7016806722689075,0.6318709195197165,0.65748031496063,0.7522522522522522,1.6696795459670986
no_dilation,1,7,0.7072072072072072,0.7123893805309734,0.6075512390952926,0.7,0.7252252252252253,1.6712289841522074
no_stats_pooling,1,7,0.6846846846846847,0.6464646464646465,0.6197176897847975,0.735632183908046,0.5765765765765766,1.67026599083015
no_pairwise_product,1,16,0.6846846846846847,0.6759259259259259,0.6237123839490049,0.6952380952380952,0.6576576576576577,1.6541284450662768
no_specaugment,1,13,0.6981981981981982,0.6869158878504673,0.6187464691497184,0.7135922330097088,0.6621621621621622,1.6442732471175676
embedding_classifier,1,21,0.6756756756756757,0.6538461538461537,0.6341945072552105,0.7010309278350515,0.6126126126126126,1.648276469677107
mlp,1,1,0.5,0.6666666666666666,0.7058822872402432,0.5,1.0,1.8048558631200213
cnn,1,5,0.6463963963963963,0.7032136105860113,0.7646369885753941,0.6058631921824105,0.8378378378378378,1.6854697037883821
transformer,1,5,0.6486486486486487,0.59375,0.6390791390393231,0.7037037037037037,0.5135135135135135,1.684171934109685
resnet,1,19,0.6756756756756757,0.6842105263157895,0.6370216763771333,0.6666666666666666,0.7027027027027027,1.6609595343220722
