model,run,epoch,test_acc,test_f1,test_loss,test_precision,test_recall,train_loss
transformer,1,1,0.5540540540540541,0.6562500000000001,0.6988473341271684,0.5338983050847458,0.8513513513513513,1.759126576805925
mlp,1,1,0.5,0.6666666666666666,0.7058822872402432,0.5,1.0,1.8048558631200213
sincnet,1,1,0.5540540540540541,0.668896321070234,0.7426075054718567,0.5319148936170213,0.9009009009009009,1.726192868105016
no_pairwise_product,1,16,0.6846846846846847,0.6759259259259259,0.6237123839490049,0.6952380952380952,0.6576576576576577,1.6541284450662768
embedding_classifier,1,11,0.6373873873873874,0.6921606118546846,0.6838639029511461,0.6013289036544851,0.8153153153153153,1.6590475095829493
no_specaugment,1,8,0.6576576576576577,0.6935483870967741,0.6839472699809719,0.6277372262773723,0.7747747747747747,1.6487349432745477
resnet,1,10,0.6711711711711712,0.6983471074380165,0.6515907011590563,0.6450381679389313,0.7612612612612613,1.670920183294549
tdnn_full,1,7,0.6801801801801802,0.7016806722689075,0.6318709195197165,0.65748031496063,0.7522522522522522,1.6696795459670986
no_stats_pooling,1,9,0.6599099099099099,0.7021696252465485,0.6856984396775564,0.624561403508772,0.8018018018018018,1.6670622144693128
cnn,1,5,0.6463963963963963,0.7032136105860113,0.7646369885753941,0.6058631921824105,0.8378378378378378,1.6854697037883821
no_dilation,1,7,0.7072072072072072,0.7123893805309734,0.6075512390952926,0.7,0.7252252252252253,1.6712289841522074
pure_sincnet,1,1,0.6644144144144144,0.7399650959860384,0.6209399356498374,0.603988603988604,0.954954954954955,1.725370086867778
